Type     no.  FC           FCDEL       BETA         INFMAX       KUZ          ALFA          PERC         KLZ          DRAW
SOIL_1    0   .111449918   1.00000000   1.00000000  50.0         .013325076   1.05999372   .007672364   .002673547   0.0
SOIL_2    1   .201548208   1.03381489   1.00000000  50.0         .134967182   1.15486830   .001000000   .001927618   0.0
SOIL_3    2   .178778847   1.00000000   1.00000000  50.0         .560937548   1.08502498   .009595844   .051637516   0.0
SOIL_4    3   .050000000   1.00000000   1.00000000  50.0         .002511002   2.00000000   .003860954   .004421604   0.0
SOIL_5    4   .114528006   1.84169597   1.00000000  50.0         .711716715   1.83529076   .001000000   .010780206   0.0
SOIL_6    5   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_7    6   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_8    7   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_9    8   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_10   9   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_11  10   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_12  11   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_13  12   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_14  13   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_15  14   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_16  15   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_17  16   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_18  17   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_19  18   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
SOIL_20  19   .050000000   5.00000000   1.00000000  50.0         .125393286   1.00000000   .003017807   .013597012   0.0
GLACIER  20   0.2          1.0          1.00000000  50.0         .074111697   1.00000000   .006357008   .005301996   0.0
