# Number of outlet lakes:  10
 Lake outlet no   Lake area         Initial lake water level   Rating curve constant    Rating curve saddle point    Rating curve exponent
    1             5000000.0         500.0                      0.012726215              500.0                        1.0
    2             5000000.0         500.0                      0.012726215              500.0                        1.0
   11             5000000.0         500.0                      0.012726215              500.0                        1.0
   10             5000000.0         500.0                      0.012726215              500.0                        1.0
   13             5000000.0         500.0                      0.012726215              500.0                        1.0
   14             5000000.0         500.0                      0.012726215              500.0                        1.0
   15             5000000.0         500.0                      0.012726215              500.0                        1.0
   17             5000000.0         500.0                      0.012726215              500.0                        1.0
  106             5000000.0         500.0                      0.012726215              500.0                        1.0 
  110             5000000.0         500.0                      0.012726215              500.0                        1.0
