Type     no.  SOIL_DEPTH  OV_PAR_1   OV_PAR_2      TSAT_0  EFF_POR     KSAT_0    A        DELTA     LAMBDA_KW       ROOT_DEPTH  WILT_POINT   EACT_PAR 
SOIL_1    0   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9           
SOIL_2    1   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.8           
SOIL_3    2   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.0           
SOIL_4    3   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9           
SOIL_5    4   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9           
SOIL_6    5   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
SOIL_7    6   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
SOIL_8    7   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
SOIL_9    8   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.8      
SOIL_10   9   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.0      
SOIL_11  10   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
SOIL_12  11   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
SOIL_13  12   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
SOIL_14  13   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
SOIL_15  14   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
SOIL_16  15   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.8      
SOIL_17  16   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.0      
SOIL_18  17   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
SOIL_19  18   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
SOIL_20  19   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
GLACIER  20   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9 
