Type         no.  INTER_MAX    EPOT_PAR     WET_PER_CORR   ACC_TEMP   MELT_TEMP    SNOW_MELT_RATE   ICE_MELT_RATE   FREEZE_EFF   MAX_REL   ALBEDO  CV_SNOW
LANDSURF_1    0   8.56467E-4   .001150878   0.8            0.0        .877993566   .011049693       5.0e-3          0.01         0.08      0.90    0.0	
LANDSURF_2    1   5.49262E-4   .003705521   0.8            0.0        .395188447   .002599775       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_3    2   4.39634E-4   2.44979E-4   0.8            0.0        .710079704   .003961861       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_4    3   5.64966E-4   .002259275   0.8            0.0        .261428961   .055911830       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_5    4   2.64963E-4   3.64827E-6   0.8            0.0        1.24316995   .005332965       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_6    5   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_7    6   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_8    7   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_9    8   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_10   9   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_11  10   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_12  11   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_13  12   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_14  13   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_15  14   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_16  15   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_17  16   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_18  17   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_19  18   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_20  19   1.15028E-4   .002548612   0.8            0.0        -.67350048   .002822728       5.0e-3          0.01         0.08      0.90    0.0
GLACIER      20   0.0005       0.0002       0.8            0.0        2.00000000   .005118497       1.80000000      0.01         0.08      0.90    0.0
