Type         no.  INTER_MAX    EPOT_PAR      WET_PER_CORR   ACC_TEMP   MELT_TEMP    SNOW_MELT_RATE   ICE_MELT_RATE   FREEZE_EFF   MAX_REL   ALBEDO  CV_SNOW
LANDSURF_1    0   .001093145   .001000000    0.8            0.0        .652504000   .002989117       5.0             0.01         0.08      0.90    0.0
LANDSURF_2    1   1.31303E-4   2.05767E-4    0.8            0.0        -.40599000   .003511695       5.0             0.01         0.08      0.90    0.15
LANDSURF_3    2   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_4    3   .001093145   .001000000    0.8            0.0        .652504000   .002989117       5.0             0.01         0.08      0.90    0.0
LANDSURF_5    4   .001093145   .001000000    0.8            0.0        .652504000   .002989117       5.0             0.01         0.08      0.90    0.0
LANDSURF_6    5   .001093145   .001000000    0.8            0.0        .652504000   .002989117       5.0             0.01         0.08      0.90    0.0          
LANDSURF_7    6   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_8    7   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_9    8   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_10   9   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_11  10   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_12  11   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_13  12   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_14  13   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_15  14   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_16  15   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_17  16   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_18  17   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_19  18   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_20  19   4.44344E-4   3.72888E-4    0.8            0.0        -.73045698   .003012751       5.0e-3          0.01         0.08      0.90    0.0
GLACIER      20   .001093145   .001000000    0.8            0.0        .652504000   .002989117       5.0             0.01         0.08      0.90    0.0          
