*Time*          *Precip*            *Temp*
                 Nigardsbrevatn     Nigardsbrevatn
19880101/1200       17.000000        0.955385
19880102/1200        8.926154        1.560000
19880103/1200       16.615385       -1.473846
19880104/1200        0.000000       -4.350769
19880105/1200        0.000000       -4.569231
19880106/1200        0.000000       -5.096923
19880107/1200        0.000000       -3.970769
19880108/1200        0.000000       -5.680000
19880109/1200        0.124615       -5.921538
19880110/1200       61.300000        0.090769
19880111/1200       31.844615        1.440000
19880112/1200        0.067692       -2.138462
19880113/1200       29.098462       -1.047692
19880114/1200        0.092308       -0.038462
19880115/1200       14.352308       -0.616923
19880116/1200       13.084615       -0.976923
19880117/1200        9.675385       -1.447692
19880118/1200        8.369231       -1.910769
19880119/1200        2.016923       -3.406154
19880120/1200       14.010769       -2.907692
19880121/1200       12.166154       -0.627692
19880122/1200       11.000000        0.130769
19880123/1200        0.610769       -0.656923
19880124/1200        1.953846       -2.270769
19880125/1200        0.000000       -6.147692
19880126/1200        0.000000       -8.040000
19880127/1200        0.095385       -6.163077
19880128/1200        0.669231       -4.861538
19880129/1200        0.175385       -3.270769
19880130/1200       11.021538       -1.566154
19880131/1200        0.000000       -3.318462
19880201/1200        3.035385       -5.681538
19880202/1200       11.706154       -4.706154
19880203/1200       14.456923       -2.090769
19880204/1200        6.675385       -1.658462
19880205/1200       11.773846       -1.660000
19880206/1200       20.420000       -1.286154
19880207/1200        0.000000       -4.198462
19880208/1200        2.653846       -7.380000
19880209/1200        0.000000       -8.850769
19880210/1200        0.067692       -7.061538
19880211/1200        0.760000       -4.181538
19880212/1200        2.946154       -5.221538
19880213/1200        3.566154       -5.630769
19880214/1200       23.823077       -3.603077
19880215/1200       17.061538       -2.313846
19880216/1200        6.807692       -1.029231
19880217/1200        3.789231       -0.953846
19880218/1200        2.570769       -2.624615
19880219/1200       21.196923       -4.333846
19880220/1200        0.147692       -6.256923
19880221/1200       22.692308       -6.975385
19880222/1200       13.329231       -4.615385
19880223/1200        6.341538       -3.601538
19880224/1200        0.000000       -5.150769
19880225/1200        0.000000       -9.470769
19880226/1200        0.000000      -12.966154
19880227/1200        5.770769      -12.280000
19880228/1200       77.763077       -7.483077
19880229/1200       17.484615       -3.650769
19880301/1200        0.000000       -5.324615
19880302/1200        0.000000       -8.696923
19880303/1200       28.035385       -9.684615
19880304/1200       11.763077       -7.130769
19880305/1200        0.118462       -7.901538
19880306/1200        0.000000      -12.278462
19880307/1200        0.000000      -14.701538
19880308/1200        0.000000      -15.029231
19880309/1200        4.747692      -14.072308
19880310/1200        1.910769       -9.773846
19880311/1200       18.089231       -7.575385
19880312/1200        2.543077       -9.718462
19880313/1200        4.930769      -12.469231
19880314/1200        0.632308      -14.341538
19880315/1200        0.000000      -15.490769
19880316/1200        0.000000      -14.907692
19880317/1200        0.000000      -15.080000
19880318/1200        0.000000      -14.493846
19880319/1200        0.000000      -12.266154
19880320/1200       15.740000       -8.341538
19880321/1200        0.584615       -4.164615
19880322/1200        0.000000       -3.158462
19880323/1200        0.000000       -5.001538
19880324/1200        0.000000       -7.138462
19880325/1200        0.067692       -7.023077
19880326/1200        2.720000       -6.187692
19880327/1200        0.000000       -7.701538
19880328/1200        0.000000       -7.358462
19880329/1200        1.409231       -4.624615
19880330/1200        5.367692       -3.527692
19880331/1200        7.000000       -3.281538
19880401/1200        9.610769       -5.093846
19880402/1200        0.000000       -5.823077
19880403/1200        0.000000       -6.596923
19880404/1200        0.000000       -6.367692
19880405/1200        0.689231       -5.187692
19880406/1200        8.776923       -4.443077
19880407/1200        9.516923       -3.153846
19880408/1200        1.300000       -4.626154
19880409/1200       57.035385       -8.347692
19880410/1200        6.516923      -10.424615
19880411/1200       71.044615      -10.663077
19880412/1200       13.618462      -10.632308
19880413/1200        6.576923       -9.583077
19880414/1200        6.772308       -9.778462
19880415/1200       35.986154       -9.215385
19880416/1200       36.818462       -6.598462
19880417/1200       45.284615       -4.930769
19880418/1200       12.483077       -5.749231
19880419/1200        0.000000       -6.749231
19880420/1200        2.110769       -5.393846
19880421/1200        0.676923       -4.763077
19880422/1200        0.000000       -8.496923
19880423/1200        0.000000      -10.104615
19880424/1200        0.178462       -9.204615
19880425/1200        1.529231       -8.818462
19880426/1200        0.000000       -8.003077
19880427/1200        0.000000       -7.930769
19880428/1200        0.000000       -6.883077
19880429/1200        0.000000       -5.287692
19880430/1200        0.000000       -3.158462
19880501/1200        1.060000       -2.832308
19880502/1200        1.000000       -2.518462
19880503/1200       32.123077       -3.216923
19880504/1200       12.401538       -3.715385
19880505/1200        2.847692       -1.901538
19880506/1200        2.332308       -1.732308
19880507/1200        0.101538       -1.309231
19880508/1200        0.000000        0.587692
19880509/1200        0.000000        2.241538
19880510/1200        0.000000        1.649231
19880511/1200        0.000000        1.253846
19880512/1200        0.000000        2.355385
19880513/1200        0.000000        3.438462
19880514/1200        0.000000        3.749231
19880515/1200        0.000000        4.340000
19880516/1200        0.000000        4.938462
19880517/1200        0.489231        3.049231
19880518/1200        4.641538       -0.826154
19880519/1200        1.570769       -3.207692
19880520/1200        0.920000       -2.178462
19880521/1200        0.304615       -2.275385
19880522/1200        0.000000       -0.796923
19880523/1200        0.000000        2.509231
19880524/1200        2.380000        2.624615
19880525/1200        0.000000        2.912308
19880526/1200        0.672308        3.947692
19880527/1200        0.000000        6.190769
19880528/1200        0.000000        7.218462
19880529/1200        0.989231        7.407692
19880530/1200        0.656923        7.876923
19880531/1200        4.740000        6.380000
19880601/1200        0.000000        6.630769
19880602/1200        0.000000        5.704615
19880603/1200        3.061538        4.018462
19880604/1200       24.933846        2.283077
19880605/1200        1.355385        3.023077
19880606/1200        0.000000        4.738462
19880607/1200        0.000000        6.604615
19880608/1200        0.000000        8.363077
19880609/1200        0.000000        9.646154
19880610/1200        0.000000        8.930769
19880611/1200        0.000000        7.372308
19880612/1200        0.000000        7.721538
19880613/1200        0.000000        8.329231
19880614/1200        0.000000        6.820000
19880615/1200        0.000000        6.409231
19880616/1200        0.000000        7.664615
19880617/1200        7.621538        6.144615
19880618/1200        0.000000        7.936923
19880619/1200        1.696923        7.383077
19880620/1200        0.000000        7.356923
19880621/1200        0.000000       10.066154
19880622/1200        0.000000        9.813846
19880623/1200        0.000000        8.046154
19880624/1200        0.586154        7.183077
19880625/1200        0.000000        9.576923
19880626/1200        0.000000       11.164615
19880627/1200        0.000000       12.641538
19880628/1200        0.000000       13.010769
19880629/1200        7.450769       12.007692
19880630/1200       15.052308       10.201538
19880701/1200        1.013846        8.583077
19880702/1200        0.000000       11.289231
19880703/1200       19.073846       10.546154
19880704/1200        2.729231        7.036923
19880705/1200        0.000000        7.996923
19880706/1200        1.215385        9.315385
19880707/1200       11.106154        7.438462
19880708/1200        2.092308        7.835385
19880709/1200       17.420000        6.920000
19880710/1200        8.447692        6.432308
19880711/1200       16.212308        6.358462
19880712/1200        9.763077        5.923077
19880713/1200        6.155385        4.903077
19880714/1200        0.627692        6.747692
19880715/1200        3.070769        8.612308
19880716/1200        0.880000        9.570769
19880717/1200        0.000000       10.046154
19880718/1200       21.600000        8.740000
19880719/1200        0.000000        9.130769
19880720/1200       38.818462        8.783077
19880721/1200       34.353846        6.318462
19880722/1200        0.641538        5.344615
19880723/1200        3.152308        5.472308
19880724/1200        0.000000        8.780000
19880725/1200       25.020000        7.972308
19880726/1200       20.126154        6.818462
19880727/1200       22.135385        4.586154
19880728/1200        5.516923        3.720000
19880729/1200        1.984615        3.904615
19880730/1200        0.653846        4.127692
19880731/1200       12.998462        4.644615
19880801/1200        7.612308        4.449231
19880802/1200        3.784615        3.301538
19880803/1200        1.838462        3.623077
19880804/1200       28.469231        3.407692
19880805/1200        9.595385        4.467692
19880806/1200        0.000000        5.044615
19880807/1200        3.932308        6.141538
19880808/1200        0.000000        7.167692
19880809/1200        0.000000        7.932308
19880810/1200        0.000000        8.336923
19880811/1200        0.000000        8.460000
19880812/1200       15.944615        7.121538
19880813/1200        6.470769        4.872308
19880814/1200        1.258462        4.778462
19880815/1200       16.484615        5.906154
19880816/1200        6.989231        6.076923
19880817/1200        3.907692        5.921538
19880818/1200        1.107692        4.889231
19880819/1200       31.604615        4.616923
19880820/1200       12.020000        5.358462
19880821/1200       19.138462        5.406154
19880822/1200        4.923077        4.893846
19880823/1200        0.000000        4.120000
19880824/1200        0.813846        3.952308
19880825/1200        6.530769        4.043077
19880826/1200        0.680000        4.015385
19880827/1200        0.204615        5.670769
19880828/1200        6.983077        5.569231
19880829/1200       26.290769        6.106154
19880830/1200       13.615385        5.646154
19880831/1200        2.827692        4.655385
19880901/1200        3.076923        4.860000
19880902/1200        0.301538        6.156923
19880903/1200        8.476923        6.693846
19880904/1200       24.938462        4.984615
19880905/1200        1.850769        3.784615
19880906/1200        0.000000        3.538462
19880907/1200        0.000000        2.838462
19880908/1200        0.009231        3.255385
19880909/1200        2.189231        5.826154
19880910/1200        7.132308        4.507692
19880911/1200       10.133846        3.093846
19880912/1200       10.406154        1.652308
19880913/1200        2.549231        2.583077
19880914/1200        1.273846        2.852308
19880915/1200        1.807692        2.153846
19880916/1200       10.156923        2.900000
19880917/1200        9.672308        2.672308
19880918/1200        9.286154        2.833846
19880919/1200       27.406154        3.529231
19880920/1200       54.367692        3.810769
19880921/1200       17.835385        2.555385
19880922/1200        5.715385        1.767692
19880923/1200       22.033846        2.816923
19880924/1200       42.929231        2.673846
19880925/1200       18.592308        1.572308
19880926/1200       23.669231       -0.835385
19880927/1200       29.766154       -0.870769
19880928/1200      105.173846       -0.538462
19880929/1200       15.796923       -0.333846
19880930/1200       55.258462       -2.240000
19881001/1200        5.580000       -1.218462
19881002/1200        6.026154        0.849231
19881003/1200       25.360000        3.095385
