Type    no.  SOIL_DEPTH  OV_PAR_1   OV_PAR_2      TSAT_0  EFF_POR     KSAT_0    A        DELTA     LAMBDA_KW       ROOT_DEPTH  WILT_POINT   EACT_PAR 
OPEN     0   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
BOG      1   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.8      
FOREST   2   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.0      
ALPINE   3   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
HEATHER  4   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
BEDROCK  5   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  6   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  7   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  8   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  9   0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  10  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  11  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  12  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  13  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  14  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  15  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  16  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  17  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  18  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
LANDSUR  19  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
GLACIER  20  0.8         45.16980   1.2387468     0.7     0.07398     16.6     -8.2063  -15.5127  -1.415257062915  0.40050484  0.06         0.9      
