Type         no.  INTER_MAX    EPOT_PAR     WET_PER_CORR   ACC_TEMP     MELT_TEMP    SNOW_MELT_RATE   ICE_MELT_RATE   FREEZE_EFF   MAX_REL   ALBEDO  CV_SNOW
LANDSURF_1    0   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_2    1   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_3    2   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_4    3   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_5    4   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_6    5   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_7    6   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_8    7   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_9    8   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_10   9   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_11  10   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_12  11   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_13  12   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_14  13   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_15  14   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_16  15   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_17  16   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_18  17   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_19  18   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
LANDSURF_20  19   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
GLACIER      20   3.54041E-5   1.27339E-5   0.8            .004282538   .311810885   .008762252       1.5             0.01         0.08      0.90    0.0
