Type    no.   INTER_MAX        EPOT_PAR       WET_PER_CORR   ACC_TEMP   MELT_TEMP    SNOW_MELT_RATE   ICE_MELT_RATE   FREEZE_EFF   MAX_REL   ALBEDO  CV_SNOW
LANDSURF_1    0   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_2    1   0.0          0.0            0.0            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.3
LANDSURF_3    2   1.00000E-4   0.000020       0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_4    3   0.0          0.0            0.0            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_5    4   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_6    5   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0
LANDSURF_7    6   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0     
LANDSURF_8    7   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_9    8   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_10   9   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_11  10   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_12  11   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_13  12   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_14  13   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_15  14   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_16  15   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_17  16   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_18  17   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_19  18   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
LANDSURF_20  19   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
GLACIER      20   1.00000E-4   9.15724E-5     0.8            0.0        -.02740000   .011146829       5.0e-3          0.01         0.08      0.90    0.0        
